id,priority,bucket,engine,mode,fen,notes,material_cp_white_minus_black,mode_options_applied,mode_options_missing,our_nnue_static_cp,our_classical_cp,our_eval_final_cp,internal_static_available,internal_static_error,internal_nnue_stm_cp,internal_nnue_white_cp,internal_classical_stm_cp,internal_classical_white_cp,internal_piece_count,uci_nnue_cp,uci_classical_cp,bestmove_final,score_volatility_cp,search_static_gap_d8_cp,suggested_class,sf_nnue_cp,sf_final_cp,sf_classical_cp,sf_bestmove_final,error,d4_score_cp,d4_score_raw,d4_bestmove,d4_nodes,d4_qnodes,d4_time_ms,sf_d4_score_cp,sf_d4_score_raw,sf_d4_bestmove,sf_d4_nodes,d6_score_cp,d6_score_raw,d6_bestmove,d6_nodes,d6_qnodes,d6_time_ms,sf_d6_score_cp,sf_d6_score_raw,sf_d6_bestmove,sf_d6_nodes,d8_score_cp,d8_score_raw,d8_bestmove,d8_nodes,d8_qnodes,d8_time_ms,sf_d8_score_cp,sf_d8_score_raw,sf_d8_bestmove,sf_d8_nodes,d10_score_cp,d10_score_raw,d10_bestmove,d10_nodes,d10_qnodes,d10_time_ms,sf_d10_score_cp,sf_d10_score_raw,sf_d10_bestmove,sf_d10_nodes
Q01,P1,quiet_static,our_engine,no_see_pruning,r2q1rk1/ppp2ppp/2n1bn2/3pp3/3P4/2PBPN2/PP1N1PPP/R2Q1RK1 w - - 0 1,Italian-like quiet center,0,Enable SEE Pruning=false;Enable Shallow SEE Pruning=false,,16,-67,,True,,16,16,-67,-67,30,,,f3e5,60,142,unclassified,,,,,,99,cp:99,f3e5,2077,,266,,,,,98,cp:98,f3e5,7052,,331,,,,,158,cp:158,f3e5,19848,,522,,,,,159,cp:159,f3e5,58918,,1081,,,,
Q02,P1,quiet_static,our_engine,no_see_pruning,r1bq1rk1/pp2bppp/2n1pn2/2ppN3/3P4/2P1PN2/PP1BBPPP/R2Q1RK1 w - - 0 1,Sicilian developed center,0,Enable SEE Pruning=false;Enable Shallow SEE Pruning=false,,17,130,,True,,17,17,130,130,32,,,e5c6,8,0,unclassified,,,,,,25,cp:25,e5c6,2479,,61,,,,,25,cp:25,e5c6,9347,,149,,,,,17,cp:17,e5c6,34151,,482,,,,,23,cp:23,e5c6,188419,,2684,,,,
Q03,P1,quiet_static,our_engine,no_see_pruning,r2q1rk1/1pp1bppp/p1npbn2/4p3/2BPP3/2N1BN2/PPP2PPP/R2Q1RK1 w - - 0 1,"Closed center, active minors",0,Enable SEE Pruning=false;Enable Shallow SEE Pruning=false,,21,-4,,True,,21,21,-4,-4,32,,,d4d5,117,14,unclassified,,,,,,36,cp:36,c4e6,1928,,52,,,,,41,cp:41,c4e6,4898,,97,,,,,35,cp:35,c4e6,16214,,251,,,,,152,cp:152,d4d5,55251,,843,,,,
Q04,P1,quiet_static,our_engine,no_see_pruning,r2q1rk1/pp2bppp/2n1bn2/2pp4/3P4/2NBPN2/PPQ2PPP/R1B2RK1 w - - 0 1,QGD/Carlsbad development,0,Enable SEE Pruning=false;Enable Shallow SEE Pruning=false,,-2,-59,,True,,-2,-2,-59,-59,30,,,d4c5,38,-15,unclassified,,,,,,-4,cp:-4,f3g5,2634,,65,,,,,-42,cp:-42,f3g5,17487,,266,,,,,-17,cp:-17,d4c5,45553,,693,,,,,-23,cp:-23,d4c5,121720,,1811,,,,
Q05,P1,quiet_static,our_engine,no_see_pruning,r2q1rk1/pp2bppp/2n1bn2/2ppp3/3PP3/2PB1N2/PP1N1PPP/R1BQ1RK1 w - - 0 1,French-style locked center,0,Enable SEE Pruning=false;Enable Shallow SEE Pruning=false,,-16,-128,,True,,-16,-16,-128,-128,32,,,d4e5,57,101,unclassified,,,,,,30,cp:30,e4d5,3445,,66,,,,,87,cp:87,d4e5,9642,,150,,,,,85,cp:85,d4e5,17847,,256,,,,,99,cp:99,d4e5,76983,,1105,,,,
Q06,P1,quiet_static,our_engine,no_see_pruning,r2q1rk1/pp1bbppp/2n1pn2/2pp4/2PP4/2NBPN2/PP2BPPP/R2Q1RK1 w - - 0 1,English/QGD quiet tension,0,Enable SEE Pruning=false;Enable Shallow SEE Pruning=false,,26,28,,True,,26,26,28,28,32,,,c4d5,11,-10,unclassified,,,,,,27,cp:27,c4d5,3102,,69,,,,,16,cp:16,c4d5,11576,,182,,,,,16,cp:16,c4d5,37191,,549,,,,,25,cp:25,c4d5,103574,,1514,,,,
Q07,P1,quiet_static,our_engine,no_see_pruning,r2q1rk1/pp2bppp/2npbn2/2p1p3/2PPP3/2N1BN2/PP2BPPP/R2Q1RK1 w - - 0 1,KID/Benoni-style closed center,0,Enable SEE Pruning=false;Enable Shallow SEE Pruning=false,,56,131,,True,,56,56,131,131,32,,,d4d5,164,409,unstable,,,,,,469,cp:469,d4d5,2781,,61,,,,,629,cp:629,d4d5,15280,,231,,,,,465,cp:465,d4d5,37240,,522,,,,,429,cp:429,d4d5,148077,,2138,,,,
Q08,P1,quiet_static,our_engine,no_see_pruning,r1bq1rk1/pp2bppp/2n1pn2/2pp4/2PP4/2N1PN2/PP1BBPPP/R2Q1RK1 w - - 0 1,Maroczy-like quiet structure,0,Enable SEE Pruning=false;Enable Shallow SEE Pruning=false,,21,61,,True,,21,21,61,61,32,,,c4d5,15,1,unclassified,,,,,,37,cp:37,c4d5,1613,,50,,,,,22,cp:22,c4d5,4894,,98,,,,,22,cp:22,c4d5,17661,,284,,,,,24,cp:24,c4d5,53061,,776,,,,
P01,P1,pawn_endgame_rfp,our_engine,no_see_pruning,8/8/8/3k4/3P4/3K4/8/8 w - - 0 1,"Opposition, white to move",100,Enable SEE Pruning=false;Enable Shallow SEE Pruning=false,,0,150,,True,,0,0,150,150,3,,,d3c3,21,0,unclassified,,,,,,0,cp:0,d3c2,264,,34,,,,,0,cp:0,d3c2,799,,39,,,,,0,cp:0,d3c2,2505,,51,,,,,21,cp:21,d3c3,6637,,80,,,,
P02,P1,pawn_endgame_rfp,our_engine,no_see_pruning,8/8/8/3k4/3P4/3K4/8/8 b - - 0 1,"Opposition, black to move",100,Enable SEE Pruning=false;Enable Shallow SEE Pruning=false,,0,-150,,True,,0,0,-150,150,3,,,d5d6,22,-22,unclassified,,,,,,-10,cp:-10,d5e6,421,,33,,,,,0,cp:0,d5d6,938,,39,,,,,-22,cp:-22,d5d6,3354,,58,,,,,-44,cp:-44,d5d6,5992,,76,,,,
P03,P1,pawn_endgame_rfp,our_engine,no_see_pruning,8/8/8/8/2k5/8/2P5/2K5 w - - 0 1,"K+P boundary, white to move",100,Enable SEE Pruning=false;Enable Shallow SEE Pruning=false,,0,70,,True,,0,0,70,70,3,,,c1d1,0,0,unclassified,,,,,,0,cp:0,c1d1,221,,33,,,,,0,cp:0,c1d1,566,,36,,,,,0,cp:0,c1d1,1436,,43,,,,,0,cp:0,c1d1,3520,,56,,,,
P04,P1,pawn_endgame_rfp,our_engine,no_see_pruning,8/8/8/8/2k5/8/2P5/2K5 b - - 0 1,"K+P boundary, black to move",100,Enable SEE Pruning=false;Enable Shallow SEE Pruning=false,,0,-70,,True,,0,0,-70,70,3,,,c4c3,0,0,unclassified,,,,,,0,cp:0,c4c3,220,,30,,,,,0,cp:0,c4c3,614,,32,,,,,0,cp:0,c4c3,1643,,42,,,,,0,cp:0,c4c3,4932,,66,,,,
